MSA_Code,MSA_Name,Pop 2000,C02 - Total
10180,"Abilene, TX MSA",160245,649929.7629
10420,"Akron, OH MSA",694960,2048256.941
10500,"Albany, GA MSA",157833,977521.5395
10580,"Albany-Schenectady-Troy, NY MSA",825875,2816506.059
10740,"Albuquerque, NM MSA",729649,2265460.756
10780,"Alexandria, LA MSA",145035,1636890.51
10900,"Allentown-Bethlehem-Easton, PA-NJ MSA",740395,11376941.21
11020,"Altoona, PA MSA",129144,415941.0442
11100,"Amarillo, TX MSA",226522,3328536.621
11180,"Ames, IA MSA",79981,352048.9172
11260,"Anchorage, AK MSA",319605,2217505.806
11300,"Anderson, IN MSA",133358,386371.9887
11340,"Anderson, SC MSA",165740,1005217.78
11460,"Ann Arbor, MI MSA",322895,1152577.831
11500,"Anniston-Oxford, AL MSA",112249,466962.8185
11540,"Appleton, WI MSA",201602,1220728.898
11700,"Asheville, NC MSA",369171,1580055.429
12020,"Athens-Clarke County, GA MSA",166079,538518.8384
12060,"Atlanta-Sandy Springs-Marietta, GA MSA",4247981,24628193.32
12100,"Atlantic City, NJ MSA",252552,730396.4208
12220,"Auburn-Opelika, AL MSA",115092,416117.7873
12260,"Augusta-Richmond County, GA-SC MSA",499684,2212599.409
12420,"Austin-Round Rock, TX MSA",1249763,4359559.271
12540,"Bakersfield, CA MSA",661645,4937147.899
12580,"Baltimore-Towson, MD MSA",2552994,10202214.69
12620,"Bangor, ME MSA",144919,1044852.056
12700,"Barnstable Town, MA MSA",222230,1759063.036
12940,"Baton Rouge, LA MSA",705973,18546886.55
12980,"Battle Creek, MI MSA",137985,551884.9183
13020,"Bay City, MI MSA",110157,2127561.978
13140,"Beaumont-Port Arthur, TX MSA",385090,6596488.278
13380,"Bellingham, WA MSA",166814,737121.8552
13460,"Bend, OR MSA",115367,311664.7981
13740,"Billings, MT MSA",138904,1428499.147
13780,"Binghamton, NY MSA",252320,1020023.591
13820,"Birmingham-Hoover, AL MSA",1052238,14164308.25
13900,"Bismarck, ND MSA",94719,518715.1844
13980,"Blacksburg-Christiansburg-Radford, VA MSA",151272,1140369.394
14020,"Bloomington, IN MSA",175506,500061.097
14060,"Bloomington-Normal, IL MSA",150433,563719.1796
14260,"Boise City-Nampa, ID MSA",464840,1506476.681
14460,"Boston-Cambridge-Quincy, MA-NH MSA",4391344,14192716.69
14500,"Boulder, CO MSA",291288,1087185.605
14540,"Bowling Green, KY MSA",104166,308907.8272
14740,"Bremerton-Silverdale, WA MSA",231969,385786.4388
14860,"Bridgeport-Stamford-Norwalk, CT MSA",882567,2946575.34
14980,"Bristol, VA MSA",68470,331314.4105
15180,"Brownsville-Harlingen, TX MSA",335227,589178.47
15260,"Brunswick, GA MSA",93044,392338.8471
15380,"Buffalo-Cheektowaga-Tonawanda, NY MSA",1170111,6111840.494
15500,"Burlington, NC MSA",130800,347835.1083
15540,"Burlington-South Burlington, VT MSA",198889,827937.7836
15940,"Canton-Massillon, OH MSA",406934,1048662.84
15980,"Cape Coral-Fort Myers, FL MSA",440888,1823779.916
16180,"Carson City, NV MSA",52457,154004.4159
16220,"Casper, WY MSA",66533,403968.7512
16300,"Cedar Rapids, IA MSA",237230,1276698.963
16580,"Champaign-Urbana, IL MSA",210275,792756.7846
16620,"Charleston, WV MSA",309635,6041216.956
16700,"Charleston-North Charleston, SC MSA",549033,5946698.092
16740,"Charlotte-Gastonia-Concord, NC-SC MSA",1330448,5265928.476
16820,"Charlottesville, VA MSA",174021,1013016.027
16860,"Chattanooga, TN-GA MSA",476531,1999000.25
16940,"Cheyenne, WY MSA",81607,664242.7589
16980,"Chicago-Naperville-Joliet, IL-IN-WI MSA",9098316,47924484.02
17020,"Chico, CA MSA",203171,387642.9475
17140,"Cincinnati-Middletown, OH-KY-IN MSA",2009632,14378565.93
17300,"Clarksville, TN-KY MSA",232000,5366002.924
17420,"Cleveland, TN MSA",104015,290811.4474
17460,"Cleveland-Elyria-Mentor, OH MSA",2148143,16962121.41
17660,"Coeur d'Alene, ID MSA",108685,448394.2675
17780,"College Station-Bryan, TX MSA",184885,1270414.101
17820,"Colorado Springs, CO MSA",537484,2394162.169
17860,"Columbia, MO MSA",145666,548739.8889
17900,"Columbia, SC MSA",647158,3431950.924
17980,"Columbus, GA-AL MSA",281768,766146.5385
18020,"Columbus, IN MSA",71435,254458.5109
18140,"Columbus, OH MSA",1612694,4762232.057
18580,"Corpus Christi, TX MSA",403280,4017334.038
18700,"Corvallis, OR MSA",78153,190717.2169
19060,"Cumberland, MD-WV MSA",102008,310538.5779
19100,"Dallas-Fort Worth-Arlington, TX MSA",5161544,16390026.62
19140,"Dalton, GA MSA",120031,950225.7235
19180,"Danville, IL MSA",83919,586290.1153
19260,"Danville, VA MSA",110156,514436.4146
19340,"Davenport-Moline-Rock Island, IA-IL MSA",376019,1719231.348
19380,"Dayton, OH MSA",848153,2797012.858
19460,"Decatur, AL MSA",145867,719825.9256
19500,"Decatur, IL MSA",114706,546509.7274
