Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,57.580002,57.75,56.93,57.00,10848800,24.040529
2009-12-30,57.740002,57.900002,57.48,57.68,9625200,24.327328
2009-12-29,57.450001,57.970001,57.450001,57.740002,9551000,24.352634
2009-12-28,57.41,57.580002,57.279999,57.439999,7679600,24.226104
2009-12-24,57.490002,57.509998,57.049999,57.439999,5814200,24.226104
2009-12-23,57.200001,57.50,56.990002,57.290001,10937600,24.16284
2009-12-22,57.150002,57.580002,57.09,57.27,12111800,24.154405
2009-12-21,57.02,57.610001,56.900002,57.18,14616200,24.116446
2009-12-18,57.259998,57.259998,56.310001,56.919998,37737800,24.006787
2009-12-17,58.259998,58.27,56.939999,56.98,25472000,24.032093
2009-12-16,58.950001,59.200001,58.380001,58.419998,19605000,24.639432
2009-12-15,59.150002,59.189999,58.849998,59.060001,15299800,24.909362
2009-12-14,59.110001,59.450001,58.919998,59.040001,16670200,24.900927
2009-12-11,58.599998,59.400002,58.599998,59.110001,30435600,24.93045
2009-12-10,57.98,58.919998,57.919998,58.580002,30755400,24.706916
2009-12-09,57.450001,57.849998,57.029999,57.830002,19494600,24.390593
2009-12-08,57.529999,57.740002,57.07,57.68,18290800,24.327328
2009-12-07,56.959999,58.099998,56.700001,57.869999,16705400,24.407462
2009-12-04,57.599998,58.029999,56.810001,57.490002,24927200,24.247193
2009-12-03,58.09,58.09,57.16,57.27,20241800,24.154405
2009-12-02,57.830002,58.200001,57.68,57.959999,13599400,24.445421
2009-12-01,57.59,58.259998,57.380001,58.080002,15359800,24.496034
2009-11-30,57.290001,57.32,56.799999,57.200001,18884800,24.124882
2009-11-27,56.98,57.529999,56.400002,57.18,15675400,24.116446
2009-11-25,58.369999,58.369999,57.990002,58.110001,13380600,24.335763
2009-11-24,58.43,58.43,57.860001,58.189999,15581400,24.369265
2009-11-23,57.709999,58.349998,57.709999,58.240002,18542400,24.390206
2009-11-20,56.689999,57.689999,56.689999,57.48,20697600,24.071926
2009-11-19,56.240002,56.98,56.040001,56.880001,18154400,23.820654
2009-11-18,56.93,57.00,56.290001,56.580002,15253200,23.695018
2009-11-17,56.639999,56.919998,56.450001,56.869999,11344000,23.816466
2009-11-16,56.650002,57.09,56.43,56.740002,16239400,23.762024
2009-11-13,56.060001,56.700001,55.900002,56.459999,23351000,23.644763
2009-11-12,56.110001,56.380001,55.849998,55.939999,15196000,23.426993
2009-11-11,56.060001,56.27,55.740002,56.130001,14304600,23.506563
2009-11-10,55.349998,56.189999,55.25,55.810001,16139400,23.372551
2009-11-09,54.59,55.50,54.169998,55.48,19230400,23.234351
2009-11-06,53.970001,54.50,53.810001,54.490002,10680400,22.819752
2009-11-05,53.509998,54.48,53.450001,54.400002,16305800,22.782061
2009-11-04,53.419998,54.00,53.029999,53.490002,14114400,22.400964
2009-11-03,53.650002,53.68,52.77,53.119999,16314800,22.246011
2009-11-02,53.509998,53.919998,53.16,53.720001,18603600,22.497285
2009-10-30,54.060001,54.27,53.110001,53.310001,21812200,22.325582
2009-10-29,53.52,54.110001,53.150002,54.09,14807000,22.652236
2009-10-28,53.25,54.00,53.23,53.509998,16017200,22.409338
2009-10-27,53.240002,53.919998,53.09,53.459999,14735200,22.388399
2009-10-26,53.080002,54.299999,52.709999,53.23,21567600,22.292078
2009-10-23,53.91,54.150002,53.119999,53.240002,21709400,22.296267
2009-10-22,53.580002,54.27,53.41,54.150002,16361000,22.677364
2009-10-21,53.82,54.689999,53.700001,54.07,16511200,22.64386
2009-10-20,53.59,54.150002,53.18,54.07,26859600,22.64386
2009-10-19,55.139999,55.50,54.669998,54.790001,20656000,22.945388
2009-10-16,54.919998,55.200001,54.689999,55.009998,22090800,23.03752
2009-10-15,54.73,55.209999,54.349998,54.919998,24241800,22.999829
2009-10-14,54.919998,55.029999,54.59,54.84,16081000,22.966327
2009-10-13,54.77,54.959999,54.549999,54.799999,11937400,22.949575
2009-10-12,54.830002,55.25,54.529999,54.790001,16013800,22.945388
2009-10-09,54.669998,54.900002,54.25,54.650002,11828400,22.886758
2009-10-08,55.009998,55.009998,54.32,54.59,18030400,22.86163
2009-10-07,54.860001,55.279999,54.32,54.810001,20761400,22.953764
2009-10-06,53.810001,54.650002,53.66,54.32,19109800,22.748557
2009-10-05,53.810001,54.00,53.299999,53.799999,15554600,22.530787
2009-10-02,53.060001,54.080002,52.91,53.869999,25169000,22.560102
2009-10-01,53.400002,53.700001,53.040001,53.119999,28071000,22.246011
2009-09-30,53.32,53.950001,52.599998,53.700001,28275800,22.488909
2009-09-29,53.400002,53.540001,53.189999,53.310001,17321200,22.325582
2009-09-28,53.029999,53.630001,52.900002,53.130001,15193400,22.2502
2009-09-25,52.330002,53.279999,52.27,52.970001,21737000,22.183194
2009-09-24,52.580002,53.139999,52.23,52.34,24283000,21.919357
2009-09-23,52.939999,53.150002,52.169998,52.580002,20835200,22.019867
2009-09-22,53.310001,53.310001,52.73,52.849998,19425600,22.132938
2009-09-21,53.48,53.759998,52.779999,53.00,24711600,22.195757
2009-09-18,53.68,54.119999,53.299999,53.759998,124169000,22.514035
2009-09-17,52.50,53.450001,52.419998,53.419998,27358600,22.371647
2009-09-16,52.439999,52.82,51.900002,52.669998,26104600,22.057556
2009-09-15,52.080002,52.580002,51.650002,52.450001,27725400,21.965424
2009-09-14,51.080002,52.470001,50.91,52.16,33162200,21.843975
2009-09-11,50.130001,51.740002,50.00,51.509998,34130200,21.571762
2009-09-10,50.529999,50.799999,50.16,50.580002,21545000,21.010589
2009-09-09,50.389999,50.810001,50.240002,50.630001,15813000,21.031358
2009-09-08,49.939999,50.790001,49.720001,50.41,31283600,20.939971
2009-09-04,49.299999,50.080002,49.049999,49.950001,15117600,20.748891
2009-09-03,49.630001,49.849998,49.23,49.580002,22579800,20.595196
2009-09-02,48.549999,50.299999,48.549999,49.799999,40824000,20.686581
2009-09-01,48.720001,49.25,48.380001,48.529999,24552800,20.159032
2009-08-31,48.84,49.369999,48.50,48.77,21321600,20.258727
2009-08-28,49.619999,49.639999,48.919998,49.060001,13716200,20.379191
2009-08-27,49.18,49.639999,48.759998,49.439999,13884800,20.537039
2009-08-26,48.82,49.32,48.700001,49.18,13591400,20.429038
2009-08-25,49.119999,49.150002,48.689999,48.740002,21427800,20.246265
2009-08-24,49.799999,49.799999,48.810001,49.060001,21742400,20.379191
2009-08-21,49.599998,49.98,49.25,49.91,17650000,20.732275
2009-08-20,49.389999,49.580002,49.119999,49.419998,11873200,20.528731
2009-08-19,48.32,49.48,48.32,49.360001,17039600,20.503809
2009-08-18,48.75,48.950001,48.48,48.610001,15516200,20.192264
2009-08-17,48.439999,48.790001,48.119999,48.700001,16211600,20.229649
2009-08-14,48.049999,48.470001,48.00,48.470001,14806400,20.134109
2009-08-13,48.43,48.650002,47.419998,48.119999,26560600,19.988721
2009-08-12,48.959999,49.09,48.43,48.459999,24894800,20.129954
2009-08-11,49.419998,49.48,48.950001,49.040001,12509000,20.370883
2009-08-10,49.259998,49.48,48.98,49.439999,13499200,20.537039
2009-08-07,49.66,49.75,49.169998,49.34,13305400,20.495501
2009-08-06,49.41,49.549999,49.200001,49.389999,13811600,20.51627
2009-08-05,49.509998,49.59,49.00,49.169998,15010000,20.424883
2009-08-04,49.560001,50.150002,49.349998,49.50,17580200,20.561964
2009-08-03,50.029999,50.099998,49.299999,49.599998,18436000,20.603502
2009-07-31,49.639999,50.200001,49.50,49.84,16822200,20.703197
2009-07-30,49.82,50.50,49.549999,49.669998,19436600,20.63258
2009-07-29,49.419998,49.939999,49.09,49.279999,18125000,20.470577
2009-07-28,49.43,49.75,49.00,49.389999,16079600,20.51627
2009-07-27,49.360001,49.59,49.150002,49.52,16257600,20.570272
2009-07-24,49.41,49.639999,48.84,49.360001,16574000,20.503809
2009-07-23,49.130001,50.02,48.880001,49.18,26749000,20.429038
2009-07-22,50.32,50.34,48.849998,49.130001,28358800,20.408269
2009-07-21,50.830002,50.830002,49.799999,50.349998,28738600,20.915047
2009-07-20,50.610001,51.029999,50.07,51.029999,19104800,21.197515
2009-07-17,50.310001,50.549999,50.029999,50.32,19808400,20.902586
